,Mkt-RF,SMB,HML,RF
201801,5.57,-3.13,-1.29,0.12
201802,-3.65,0.25,-1.04,0.11
201803,-2.35,4.06,-0.21,0.11
201804,0.28,1.13,0.54,0.14
201805,2.65,5.25,-3.2,0.14
201806,0.48,1.14,-2.34,0.14
201807,3.19,-2.22,0.47,0.16
201808,3.44,1.14,-3.94,0.16
201809,0.06,-2.27,-1.7,0.15
201810,-7.68,-4.78,3.4,0.19
201811,1.69,-0.68,0.3,0.18
201812,-9.57,-2.38,-1.84,0.2
201901,8.4,2.9,-0.46,0.21
201902,3.4,2.05,-2.67,0.18
201903,1.1,-3.05,-4.17,0.19
201904,3.97,-1.74,2.15,0.21
201905,-6.94,-1.32,-2.37,0.21
201906,6.93,0.29,-0.71,0.18
201907,1.19,-1.93,0.48,0.19
201908,-2.58,-2.38,-4.78,0.16
201909,1.43,-0.96,6.75,0.18
201910,2.06,0.29,-1.91,0.16
201911,3.87,0.77,-2.02,0.12
201912,2.77,0.73,1.75,0.14
202001,-0.11,-3.11,-6.25,0.13
202002,-8.13,1.07,-3.81,0.12
202003,-13.39,-4.83,-13.87,0.13
202004,13.65,2.45,-1.33,0
202005,5.58,2.47,-4.88,0.01
202006,2.46,2.69,-2.2,0.01
202007,5.77,-2.33,-1.41,0.01
202008,7.63,-0.22,-2.97,0.01
202009,-3.63,0.02,-2.71,0.01
202010,-2.1,4.38,4.25,0.01
202011,12.47,5.8,2.09,0.01
202012,4.63,4.89,-1.51,0.01
202101,-0.03,7.36,3.01,0.01
202102,2.78,2.05,7.15,0
202103,3.08,-2.37,7.39,0
202104,4.93,-3.19,-0.95,0
202105,0.29,-0.25,7.09,0
202106,2.75,1.68,-7.87,0
202107,1.27,-3.97,-1.78,0
202108,2.91,-0.42,-0.15,0
202109,-4.37,0.71,5.08,0
202110,6.65,-2.35,-0.49,0
202111,-1.55,-1.32,-0.45,0
202112,3.1,-1.67,3.26,0.01
202201,-6.25,-5.94,12.75,0
202202,-2.29,2.19,3.08,0
202203,3.05,-1.61,-1.81,0.01
202204,-9.46,-1.39,6.17,0.01
202205,-0.34,-1.83,8.39,0.03
202206,-8.43,2.1,-5.97,0.06
202207,9.57,2.81,-4.05,0.08
202208,-3.77,1.4,0.29,0.19
202209,-9.35,-0.81,0.05,0.19
202210,7.83,0.06,8.01,0.23
202211,4.6,-3.52,1.38,0.29
202212,-6.41,-0.69,1.37,0.33
